
###2017-08-16 00:04:18.059562
code   SU%  SD%  LU% LD%  NAME
003520  46   53   48   51   영진약품
005490  44   55   47   52   POSCO

###2017-08-26 18:00:05.044801
code   SU%  SD%  LU% LD%  NAME
000660  47   52   48   51   SK하이닉스
018260  50   49   49   50   삼성SDS
034940  47   52   48   51   조아제약
046890  46   53   50   49   서울반도체
011200  46   53   47   52   현대상선
035420  45   54   48   51   NAVER
168330  52   47   48   51   내츄럴엔도텍
015760  46   53   48   51   한국전력
067160  51   48   47   52   아프리카TV
005930  52   47   49   50   삼성전자
028050  43   56   47   52   삼성엔지니어링
034220  44   55   47   52   LG디스플레이
000270  45   54   47   52   기아차
240810  55   44   51   48   원익IPS
068270  54   45   50   49   셀트리온
025320  44   55   47   52   시노펙스
006120  46   53   48   51   SK케미칼
003670  47   52   49   50   포스코켐텍
